1,Darius Ogburn,G,Fr.,6'4,"Springfield, Ohio / Patriot Prep"
2,Marcus Johnson,G,R-Fr.,6'3,"Columbus, Ohio / South"
3,Jarius Jones,G,Fr.,6'5,"Gahanna, Ohio / Gahanna Lincoln"
4,Brandon Gibson II,G/F,So.,6'4,"Dayton, Ohio / Chaminade Julienne"
5,Ethan Haynes,G,R-Jr.,6'4,"Florence, Ky. / Boone County"
10,Zach Szul,G,So.,6'4,"Waterville, Ohio / Anthony Wayne"
11,Arius Jones,G,R-Jr.,6'4,"Lansing, Mich. / Carroll (Ind.)"
12,Sean Marks,G,Jr.,5'11,"Delaware, Ohio / Olentangy"
13,Mitch Wilkinson,G/F,So.,6'5,"Grand Rapids, Mich. / Forest Hills Central"
14,Vic Mwamba,G,R-So.,5'10,"Dublin, Ohio / Dublin Scioto"
15,Mike Knoll,F,R-So.,6'7,"Medina, Ohio / Buckeye"
20,Nate Webb,F,So.,6'5,"Lafayette, Ind. / Lafayette Central Catholic (Franklin)"
21,Kayin Derden,G,R-So.,6'1,"Columbus, Ohio / St. Francis DeSales"
23,Alek West,G,Jr.,6'4,"Sylvania, Ohio / Northview"
24,Caleb Strohmeier,C,Sr.,6'7,"Edwardsville, Ill. / Edwardsville"
32,Matt Hall,C,R-Jr.,6'8,"Evanston, Ill. / Evanston Township"
44,Max Stepaniak,F/C,Fr.,6'7,"Ross, Ohio / Ross"
